region,DD_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-1.290313720703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01002_Kiel,-2.1778106689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01003_Lübeck,-2.095001220703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01004_Neumünster,-1.918853759765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01051_Dithmarschen,-2.3660125732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01053_Herzogtum Lauenburg,-2.6199493408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01054_Nordfriesland,-2.1666107177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
01055_Ostholstein,-2.2744598388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
01057_Plön,-2.00347900390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01058_Rendsburg-Eckernförde,-1.9073486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01059_Schleswig-Flensburg,-1.765777587890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01060_Segeberg,-1.7210235595703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01061_Steinburg,-2.7476959228515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
01062_Stormarn,-2.1451416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
02000_Hamburg,-2.6271820068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03101_Braunschweig,-3.4678955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03102_Salzgitter,-3.8731689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03103_Wolfsburg,-3.2869873046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03151_Gifhorn,-3.2322845458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03159_Göttingen,-2.4505767822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03153_Goslar,-2.6117401123046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03154_Helmstedt,-2.9174957275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03155_Northeim,-2.496978759765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03157_Peine,-3.4441986083984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03158_Wolfenbüttel,-4.00469970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03241_Region Hannover,-3.12310791015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03251_Diepholz,-2.7304534912109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03252_Hameln-Pyrmont,-2.211700439453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03254_Hildesheim,-3.2774505615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03255_Holzminden,-2.241455078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
01056_Pinneberg,-2.717803955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03256_Nienburg (Weser),-2.6584014892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03257_Schaumburg,-2.599639892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03351_Celle,-3.4712066650390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03352_Cuxhaven,-2.8811187744140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03353_Harburg,-2.2559661865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03354_Lüchow-Dannenberg,-2.9788970947265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03355_Lüneburg,-3.0749664306640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03356_Osterholz,-1.8525848388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03357_Rotenburg (Wümme),-2.8361358642578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03358_Heidekreis,-2.9609222412109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03359_Stade,-2.9628448486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03360_Uelzen,-2.9813232421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03361_Verden,-2.9756622314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03401_Delmenhorst,-2.399871826171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03402_Emden,-2.1906890869140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03403_Oldenburg (Oldb),-2.078643798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03404_Osnabrück,-1.7254638671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03405_Wilhelmshaven,-2.572479248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03451_Ammerland,-2.105682373046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03452_Aurich,-2.1749267578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03453_Cloppenburg,-2.2756805419921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03454_Emsland,-1.26654052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03455_Friesland,-2.0325927734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03456_Grafschaft Bentheim,-1.666046142578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03457_Leer,-2.0246734619140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
03458_Oldenburg,-2.998565673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03459_Osnabrück,-1.96722412109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
03460_Vechta,-2.017059326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
03461_Wesermarsch,-2.7040557861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
03462_Wittmund,-2.275360107421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
04011_Bremen,-2.64349365234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
04012_Bremerhaven,-2.75994873046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05111_Düsseldorf,-0.313201904296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05112_Duisburg,-0.4367828369140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05113_Essen,-0.546051025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05114_Krefeld,-0.2417755126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05116_Mönchengladbach,-0.1186676025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05117_Mülheim an der Ruhr,-0.6045074462890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05119_Oberhausen,-0.9486083984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05120_Remscheid,0.1961822509765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05122_Solingen,-0.2890167236328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05124_Wuppertal,0.0251007080078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05154_Kleve,-0.896759033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05158_Mettmann,0.0608367919921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05162_Rhein-Kreis Neuss,-0.2946929931640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05166_Viersen,-0.0775604248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05170_Wesel,-0.719024658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05314_Bonn,-1.3321685791015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05315_Köln,0.460235595703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05316_Leverkusen,-0.300140380859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05334_Städteregion Aachen,0.5140533447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05358_Düren,-0.384307861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05362_Rhein-Erft-Kreis,-0.370635986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05366_Euskirchen,-0.0155487060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05370_Heinsberg,0.0750579833984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05374_Oberbergischer Kreis,0.268341064453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,0.774566650390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-0.079925537109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05512_Bottrop,-0.853973388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05513_Gelsenkirchen,-0.865325927734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05515_Münster,-1.2246856689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05554_Borken,-0.6978607177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05558_Coesfeld,-0.9169769287109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05562_Recklinghausen,-1.0880889892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05566_Steinfurt,-1.603546142578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05570_Warendorf,-1.186859130859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05711_Bielefeld,-2.1660308837890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05754_Gütersloh,-2.0722198486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05758_Herford,-2.9056396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05762_Höxter,-1.968292236328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05766_Lippe,-1.88037109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05770_Minden-Lübbecke,-2.8846588134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05774_Paderborn,-1.6405487060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05911_Bochum,-1.0969696044921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05913_Dortmund,-1.4685516357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05914_Hagen,-1.2005767822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05915_Hamm,-1.527740478515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
05916_Herne,-0.9178314208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-0.8392181396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05958_Hochsauerlandkreis,-0.55072021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
05962_Märkischer Kreis,-0.371063232421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05966_Olpe,-0.52471923828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
05970_Siegen-Wittgenstein,-0.18963623046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05974_Soest,-2.429412841796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
05978_Unna,-1.06884765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06411_Darmstadt,-1.393035888671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06412_Frankfurt am Main,-1.461761474609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06413_Offenbach am Main,-1.647369384765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06414_Wiesbaden,-1.1439666748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06431_Bergstraße,-0.8852081298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06432_Darmstadt-Dieburg,-0.94354248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06433_Groß-Gerau,-1.6281280517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06434_Hochtaunuskreis,-0.08856201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,-0.867950439453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,-1.248016357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,-0.2197113037109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,-1.91595458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-0.61810302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,-0.9064483642578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,-1.233245849609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,-0.57061767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06533_Limburg-Weilburg,-1.3953399658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,-1.5811767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,-0.990386962890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,-2.3201751708984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,-1.27215576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,-2.7410888671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,-2.51739501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-2.63446044921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06635_Waldeck-Frankenberg,-1.6263580322265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06636_Werra-Meißner-Kreis,-2.487640380859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07111_Koblenz,-1.4035797119140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07131_Ahrweiler,-0.712249755859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07132_Altenkirchen (Westerwald),0.1472320556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07133_Bad Kreuznach,-1.51446533203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07134_Birkenfeld,0.3161163330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07135_Cochem-Zell,-0.9778900146484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07137_Mayen-Koblenz,-1.4544830322265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07138_Neuwied,-0.6132659912109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-0.584228515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-1.221527099609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07143_Westerwaldkreis,0.453216552734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07211_Trier,0.3610076904296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07231_Bernkastel-Wittlich,-0.003509521484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,1.2854461669921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07233_Vulkaneifel,0.974853515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07235_Trier-Saarburg,1.3994598388671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07311_Frankenthal (Pfalz),-2.3203582763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07312_Kaiserslautern,-0.22650146484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07313_Landau in der Pfalz,-1.239593505859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07314_Ludwigshafen am Rhein,-2.7338104248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07315_Mainz,-1.1131134033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07316_Neustadt an der Weinstraße,-1.3868408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07317_Pirmasens,0.42413330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07318_Speyer,-1.88848876953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07319_Worms,-2.355804443359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07320_Zweibrücken,-0.1699066162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,-2.2903289794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,-1.3606414794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,-1.4214019775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,-1.0486602783203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,-0.228607177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,-0.4144439697265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,-1.3583831787109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-2.978302001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,-2.3082275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,-0.0805511474609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,-1.6802978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,-2.6254119873046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,-1.212982177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,-1.3771209716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,-0.8450164794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,-0.802398681640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,-0.529266357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,-0.3377838134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,-1.4038848876953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,-1.65789794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,-1.69732666015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,-2.126953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,-1.2863922119140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,0.4451141357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,-0.9089508056640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,-1.0594940185546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,0.4241180419921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,-0.908172607421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,-2.7935943603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-1.1512908935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-0.3951416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,-1.4082183837890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,-1.2097015380859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,-1.3131561279296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,-0.463531494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,-0.7476043701171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-0.2913360595703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,-0.22454833984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,-0.6566314697265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,-1.359832763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-1.0496978759765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,-1.06207275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,-1.886444091796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,0.102569580078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,-0.1931610107421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,-0.9739990234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,-2.320465087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,-1.176116943359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,-2.3422088623046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,-1.92999267578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,-1.666534423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,-2.3328094482421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,-1.03106689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,-1.3744659423828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,-2.747589111328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,-2.15631103515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,-3.1493072509765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,-2.245758056640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,-2.3773040771484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-2.0598907470703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,-2.3054046630859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,-1.3818511962890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,-2.814453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,-1.813873291015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,-2.3000335693359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,-2.3121337890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,-1.8095245361328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,-1.6354827880859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,-1.904815673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,-1.9771575927734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,-1.583099365234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-2.6323394775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-2.455230712890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,-2.32696533203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,-2.3886566162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,-1.88226318359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,-2.0253448486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,-2.5587005615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,-2.0572967529296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,-2.74542236328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,-2.373046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,-1.456695556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,-2.309783935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,-2.65496826171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,-1.92340087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,-1.900115966796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,-1.7566070556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,-2.523895263671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,-2.997314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,-2.61846923828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,-3.1838226318359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,-2.450531005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,-2.7278594970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,-2.10040283203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-2.0675048828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-2.175537109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,-2.8082275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,-2.300384521484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,-2.0662384033203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,-3.066864013671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,-2.963958740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,-2.021392822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
