region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08212_08215_07334_Region_um_Karlsruhe,0.06039118766784668,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,0.05935096740722656,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,0.06843686103820801,RRm,year,precipitation,mm day-1,7
08216_Rastatt,0.06459665298461914,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,0.08199167251586914,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,0.07195091247558594,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.07323598861694336,RRm,year,precipitation,mm day-1,7
08222_Mannheim,0.06659078598022461,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,0.06263327598571777,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,0.07789993286132812,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,0.058357954025268555,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,0.05983281135559082,RRm,year,precipitation,mm day-1,7
08235_Calw,0.055474281311035156,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,0.06403398513793945,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,0.047515869140625,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.05167055130004883,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,0.10571455955505371,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,0.04673433303833008,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,0.0732731819152832,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,0.08076047897338867,RRm,year,precipitation,mm day-1,7
08325_Rottweil,0.0527951717376709,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,0.05497169494628906,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,0.07439899444580078,RRm,year,precipitation,mm day-1,7
08335_Konstanz,0.10646367073059082,RRm,year,precipitation,mm day-1,7
08336_Lörrach,0.052568912506103516,RRm,year,precipitation,mm day-1,7
08337_Waldshut,0.07743453979492188,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,0.06447887420654297,RRm,year,precipitation,mm day-1,7
08416_Tübingen,0.0768582820892334,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,0.05440974235534668,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,0.06890702247619629,RRm,year,precipitation,mm day-1,7
08421_Ulm,0.0720207691192627,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,0.07151246070861816,RRm,year,precipitation,mm day-1,7
08426_Biberach,0.06743597984313965,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,0.15107226371765137,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,0.08611536026000977,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,0.0729513168334961,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.08786320686340332,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,0.08522236347198486,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,0.09447002410888672,RRm,year,precipitation,mm day-1,7
09162_München,0.08860325813293457,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,0.09686851501464844,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,0.11133050918579102,RRm,year,precipitation,mm day-1,7
09171_Altötting,0.045743703842163086,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,0.09368658065795898,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,0.09429669380187988,RRm,year,precipitation,mm day-1,7
09174_Dachau,0.09415817260742188,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,0.08155155181884766,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,0.08159470558166504,RRm,year,precipitation,mm day-1,7
09177_Erding,0.07452750205993652,RRm,year,precipitation,mm day-1,7
09178_Freising,0.09197235107421875,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,0.10370945930480957,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,0.11270570755004883,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,0.09846687316894531,RRm,year,precipitation,mm day-1,7
09182_Miesbach,0.09363603591918945,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,0.05883979797363281,RRm,year,precipitation,mm day-1,7
09184_München,0.09041523933410645,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,0.07537388801574707,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,0.0882866382598877,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,0.09669113159179688,RRm,year,precipitation,mm day-1,7
09188_Starnberg,0.11233377456665039,RRm,year,precipitation,mm day-1,7
09189_Traunstein,0.10128593444824219,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,0.09031343460083008,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,0.08401131629943848,RRm,year,precipitation,mm day-1,7
09261_Landshut,0.09117507934570312,RRm,year,precipitation,mm day-1,7
09262_09275_Region_um_Passau,0.026421308517456055,RRm,year,precipitation,mm day-1,7
09262_Passau,0.02497577667236328,RRm,year,precipitation,mm day-1,7
09263_09278_Region_um_Straubing,0.052466630935668945,RRm,year,precipitation,mm day-1,7
09263_Straubing,0.06423115730285645,RRm,year,precipitation,mm day-1,7
09271_Deggendorf,0.036948442459106445,RRm,year,precipitation,mm day-1,7
09272_Freyung-Grafenau,0.020690202713012695,RRm,year,precipitation,mm day-1,7
09273_Kelheim,0.08633303642272949,RRm,year,precipitation,mm day-1,7
09274_Landshut,0.0832972526550293,RRm,year,precipitation,mm day-1,7
09275_Passau,0.025578022003173828,RRm,year,precipitation,mm day-1,7
09276_Regen,0.020877361297607422,RRm,year,precipitation,mm day-1,7
09277_Rottal-Inn,0.05463910102844238,RRm,year,precipitation,mm day-1,7
09278_Straubing-Bogen,0.051558732986450195,RRm,year,precipitation,mm day-1,7
09279_Dingolfing-Landau,0.06769895553588867,RRm,year,precipitation,mm day-1,7
09361_09371_Region_um_Amberg,0.04463338851928711,RRm,year,precipitation,mm day-1,7
09361_Amberg,0.050728559494018555,RRm,year,precipitation,mm day-1,7
09362_09375_Region_um_Regensburg,0.07260632514953613,RRm,year,precipitation,mm day-1,7
09362_Regensburg,0.07809197902679443,RRm,year,precipitation,mm day-1,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.045558929443359375,RRm,year,precipitation,mm day-1,7
09363_Weiden i.d. OPf.,0.05467629432678223,RRm,year,precipitation,mm day-1,7
09371_Amberg-Sulzbach,0.044677019119262695,RRm,year,precipitation,mm day-1,7
09372_Cham,0.04958200454711914,RRm,year,precipitation,mm day-1,7
09373_Neumarkt i.d. OPf.,0.06051993370056152,RRm,year,precipitation,mm day-1,7
09374_Neustadt a.d. Waldnaab,0.04528236389160156,RRm,year,precipitation,mm day-1,7
09375_Regensburg,0.07226181030273438,RRm,year,precipitation,mm day-1,7
09376_Schwandorf,0.06789660453796387,RRm,year,precipitation,mm day-1,7
09377_Tirschenreuth,0.040093183517456055,RRm,year,precipitation,mm day-1,7
09461_09471_Region_um_Bamberg,0.08231759071350098,RRm,year,precipitation,mm day-1,7
09461_Bamberg,0.0823359489440918,RRm,year,precipitation,mm day-1,7
09462_09472_Region_um_Bayreuth,0.043750762939453125,RRm,year,precipitation,mm day-1,7
09462_Bayreuth,0.0475924015045166,RRm,year,precipitation,mm day-1,7
09463_09473_Region_um_Coburg,0.06973934173583984,RRm,year,precipitation,mm day-1,7
09463_Coburg,0.061138153076171875,RRm,year,precipitation,mm day-1,7
09464_09475_Region_um_Hof,0.06127285957336426,RRm,year,precipitation,mm day-1,7
09464_Hof,0.07197737693786621,RRm,year,precipitation,mm day-1,7
09471_Bamberg,0.08198833465576172,RRm,year,precipitation,mm day-1,7
09472_Bayreuth,0.043544769287109375,RRm,year,precipitation,mm day-1,7
09473_Coburg,0.07031393051147461,RRm,year,precipitation,mm day-1,7
09474_Forchheim,0.06248188018798828,RRm,year,precipitation,mm day-1,7
09475_Hof,0.05887794494628906,RRm,year,precipitation,mm day-1,7
09476_Kronach,0.046885013580322266,RRm,year,precipitation,mm day-1,7
09477_Kulmbach,0.0716099739074707,RRm,year,precipitation,mm day-1,7
09478_Lichtenfels,0.06549859046936035,RRm,year,precipitation,mm day-1,7
09479_Wunsiedel i. Fichtelgebirge,0.045444488525390625,RRm,year,precipitation,mm day-1,7
09561_09571_Region_um_Ansbach,0.05195140838623047,RRm,year,precipitation,mm day-1,7
09561_Ansbach,0.05254030227661133,RRm,year,precipitation,mm day-1,7
09562_09572_09564_09563_Region_um_Erlangen,0.07127904891967773,RRm,year,precipitation,mm day-1,7
09562_Erlangen,0.07045888900756836,RRm,year,precipitation,mm day-1,7
09563_09573_09562_09564_Region_um_Fürth,0.06550455093383789,RRm,year,precipitation,mm day-1,7
09563_Fürth,0.06452417373657227,RRm,year,precipitation,mm day-1,7
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,0.06415557861328125,RRm,year,precipitation,mm day-1,7
09564_Nürnberg,0.07038545608520508,RRm,year,precipitation,mm day-1,7
09565_09576_09564_Region_um_Schwabach,0.06499910354614258,RRm,year,precipitation,mm day-1,7
09565_Schwabach,0.0654301643371582,RRm,year,precipitation,mm day-1,7
09571_Ansbach,0.05173039436340332,RRm,year,precipitation,mm day-1,7
09572_Erlangen-Höchstadt,0.07183623313903809,RRm,year,precipitation,mm day-1,7
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,0.06174826622009277,RRm,year,precipitation,mm day-1,7
09573_Fürth,0.06409525871276855,RRm,year,precipitation,mm day-1,7
09574_Nürnberger Land,0.04389142990112305,RRm,year,precipitation,mm day-1,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.06652617454528809,RRm,year,precipitation,mm day-1,7
09576_Roth,0.06580591201782227,RRm,year,precipitation,mm day-1,7
09577_Weißenburg-Gunzenhausen,0.06373262405395508,RRm,year,precipitation,mm day-1,7
09661_09671_09676_Region_um_Aschaffenburg,0.04104208946228027,RRm,year,precipitation,mm day-1,7
09661_Aschaffenburg,0.04581165313720703,RRm,year,precipitation,mm day-1,7
09662_09678_Region_um_Schweinfurt,0.06261658668518066,RRm,year,precipitation,mm day-1,7
09662_Schweinfurt,0.05392265319824219,RRm,year,precipitation,mm day-1,7
09663_09679_Region_um_Würzburg,0.06057405471801758,RRm,year,precipitation,mm day-1,7
09663_Würzburg,0.05405879020690918,RRm,year,precipitation,mm day-1,7
09671_Aschaffenburg,0.04065585136413574,RRm,year,precipitation,mm day-1,7
09672_Bad Kissingen,0.04851508140563965,RRm,year,precipitation,mm day-1,7
09673_Rhön-Grabfeld,0.05034685134887695,RRm,year,precipitation,mm day-1,7
09674_Haßberge,0.06266355514526367,RRm,year,precipitation,mm day-1,7
09675_Kitzingen,0.0643930435180664,RRm,year,precipitation,mm day-1,7
09676_Miltenberg,0.041290283203125,RRm,year,precipitation,mm day-1,7
09677_Main-Spessart,0.04448843002319336,RRm,year,precipitation,mm day-1,7
09678_Schweinfurt,0.06222796440124512,RRm,year,precipitation,mm day-1,7
09679_Würzburg,0.058754920959472656,RRm,year,precipitation,mm day-1,7
09761_09772_09771_Region_um_Augsburg,0.08841133117675781,RRm,year,precipitation,mm day-1,7
09761_Augsburg,0.09002399444580078,RRm,year,precipitation,mm day-1,7
09762_09777_Region_um_Kaufbeuren,0.10715723037719727,RRm,year,precipitation,mm day-1,7
09762_Kaufbeuren,0.08362936973571777,RRm,year,precipitation,mm day-1,7
09763_09780_Region_um_Kempten_(Allgäu),0.08933162689208984,RRm,year,precipitation,mm day-1,7
09763_Kempten (Allgäu),0.09845089912414551,RRm,year,precipitation,mm day-1,7
09764_09778_08436_Region_um_Memmingen,0.08510851860046387,RRm,year,precipitation,mm day-1,7
09764_Memmingen,0.07886314392089844,RRm,year,precipitation,mm day-1,7
09771_Aichach-Friedberg,0.08078980445861816,RRm,year,precipitation,mm day-1,7
09772_Augsburg,0.07790398597717285,RRm,year,precipitation,mm day-1,7
09773_Dillingen a.d. Donau,0.07922720909118652,RRm,year,precipitation,mm day-1,7
09774_Günzburg,0.06674957275390625,RRm,year,precipitation,mm day-1,7
09775_Neu-Ulm,0.08216214179992676,RRm,year,precipitation,mm day-1,7
09776_08435_08436_09780_09763_Region_um_Lindau_(Bodensee),0.11537313461303711,RRm,year,precipitation,mm day-1,7
09776_Lindau (Bodensee),0.11318397521972656,RRm,year,precipitation,mm day-1,7
09777_Ostallgäu,0.1078486442565918,RRm,year,precipitation,mm day-1,7
09778_Unterallgäu,0.06983399391174316,RRm,year,precipitation,mm day-1,7
09779_Donau-Ries,0.07152128219604492,RRm,year,precipitation,mm day-1,7
09780_Oberallgäu,0.08833551406860352,RRm,year,precipitation,mm day-1,7
10041_Regionalverband Saarbrücken,0.03928041458129883,RRm,year,precipitation,mm day-1,7
10042_Merzig-Wadern,0.02579474449157715,RRm,year,precipitation,mm day-1,7
10043_10044_10045_10041_10046_07336_Region_um_Neunkirchen,0.039592742919921875,RRm,year,precipitation,mm day-1,7
10043_Neunkirchen,0.03860139846801758,RRm,year,precipitation,mm day-1,7
10044_Saarlouis,0.039116859436035156,RRm,year,precipitation,mm day-1,7
10045_Saarpfalz-Kreis,0.04338955879211426,RRm,year,precipitation,mm day-1,7
10046_St. Wendel,0.028825759887695312,RRm,year,precipitation,mm day-1,7
11000_Berlin,0.07461929321289062,RRm,year,precipitation,mm day-1,7
12051_12063_12069_Region_um_Brandenburg_an_der_Havel,0.07712805271148682,RRm,year,precipitation,mm day-1,7
12051_Brandenburg an der Havel,0.08043718338012695,RRm,year,precipitation,mm day-1,7
12052_12071_Region_um_Cottbus,0.07979881763458252,RRm,year,precipitation,mm day-1,7
12052_Cottbus,0.08007192611694336,RRm,year,precipitation,mm day-1,7
12053_12067_12064_Region_um_Frankfurt_(Oder),0.08803987503051758,RRm,year,precipitation,mm day-1,7
12053_Frankfurt (Oder),0.0852895975112915,RRm,year,precipitation,mm day-1,7
12054_12063_12069_11000_12051_Region_um_Potsdam,0.07807445526123047,RRm,year,precipitation,mm day-1,7
12054_Potsdam,0.07882213592529297,RRm,year,precipitation,mm day-1,7
12060_Barnim,0.07181799411773682,RRm,year,precipitation,mm day-1,7
12061_Dahme-Spreewald,0.08456027507781982,RRm,year,precipitation,mm day-1,7
12062_Elbe-Elster,0.08377456665039062,RRm,year,precipitation,mm day-1,7
12063_Havelland,0.07877421379089355,RRm,year,precipitation,mm day-1,7
12064_Märkisch-Oderland,0.08022093772888184,RRm,year,precipitation,mm day-1,7
12065_Oberhavel,0.062016963958740234,RRm,year,precipitation,mm day-1,7
12066_Oberspreewald-Lausitz,0.07981204986572266,RRm,year,precipitation,mm day-1,7
12067_Oder-Spree,0.08601820468902588,RRm,year,precipitation,mm day-1,7
12068_Ostprignitz-Ruppin,0.05231356620788574,RRm,year,precipitation,mm day-1,7
12069_Potsdam-Mittelmark,0.08264005184173584,RRm,year,precipitation,mm day-1,7
12070_Prignitz,0.06045985221862793,RRm,year,precipitation,mm day-1,7
12071_Spree-Neiße,0.07875204086303711,RRm,year,precipitation,mm day-1,7
12072_Teltow-Fläming,0.08417332172393799,RRm,year,precipitation,mm day-1,7
12073_Uckermark,0.07324504852294922,RRm,year,precipitation,mm day-1,7
13003_13072_Region_um_Rostock,0.07437169551849365,RRm,year,precipitation,mm day-1,7
13003_Rostock,0.08691465854644775,RRm,year,precipitation,mm day-1,7
13004_13076_13074_Region_um_Schwerin,0.06457352638244629,RRm,year,precipitation,mm day-1,7
13004_Schwerin,0.06761002540588379,RRm,year,precipitation,mm day-1,7
13071_Mecklenburgische Seenplatte,0.07253193855285645,RRm,year,precipitation,mm day-1,7
13072_Rostock,0.07331550121307373,RRm,year,precipitation,mm day-1,7
13073_Vorpommern-Rügen,0.10508692264556885,RRm,year,precipitation,mm day-1,7
13074_Nordwestmecklenburg,0.06343543529510498,RRm,year,precipitation,mm day-1,7
13075_Vorpommern-Greifswald,0.08213376998901367,RRm,year,precipitation,mm day-1,7
13076_Ludwigslust-Parchim,0.06839156150817871,RRm,year,precipitation,mm day-1,7
14511_14524_14521_14522_Region_um_Chemnitz,0.07126379013061523,RRm,year,precipitation,mm day-1,7
14511_Chemnitz,0.07321357727050781,RRm,year,precipitation,mm day-1,7
14521_Erzgebirgskreis,0.06861841678619385,RRm,year,precipitation,mm day-1,7
14522_Mittelsachsen,0.07421088218688965,RRm,year,precipitation,mm day-1,7
14523_Vogtlandkreis,0.07751679420471191,RRm,year,precipitation,mm day-1,7
14524_Zwickau,0.08221173286437988,RRm,year,precipitation,mm day-1,7
14612_14627_14625_14628_Region_um_Dresden,0.0791628360748291,RRm,year,precipitation,mm day-1,7
14612_Dresden,0.09312033653259277,RRm,year,precipitation,mm day-1,7
14625_Bautzen,0.0787208080291748,RRm,year,precipitation,mm day-1,7
14626_Görlitz,0.07694399356842041,RRm,year,precipitation,mm day-1,7
14627_Meißen,0.08117914199829102,RRm,year,precipitation,mm day-1,7
14628_Sächsische Schweiz-Osterzgebirge,0.07983899116516113,RRm,year,precipitation,mm day-1,7
14713_14729_14730_Region_um_Leipzig,0.07944107055664062,RRm,year,precipitation,mm day-1,7
14713_Leipzig,0.08404827117919922,RRm,year,precipitation,mm day-1,7
14729_Leipzig,0.08456826210021973,RRm,year,precipitation,mm day-1,7
14730_Nordsachsen,0.07630288600921631,RRm,year,precipitation,mm day-1,7
15001_15091_15082_Region_um_Dessau-Rolau,0.08049154281616211,RRm,year,precipitation,mm day-1,7
15001_Dessau-Roßlau,0.0797874927520752,RRm,year,precipitation,mm day-1,7
15002_15088_Region_um_Halle_(Saale),0.08158743381500244,RRm,year,precipitation,mm day-1,7
15002_Halle (Saale),0.08240044116973877,RRm,year,precipitation,mm day-1,7
15003_15083_15089_15086_Region_um_Magdeburg,0.0758429765701294,RRm,year,precipitation,mm day-1,7
15003_Magdeburg,0.06960141658782959,RRm,year,precipitation,mm day-1,7
15081_Altmarkkreis Salzwedel,0.06434690952301025,RRm,year,precipitation,mm day-1,7
15082_Anhalt-Bitterfeld,0.08370757102966309,RRm,year,precipitation,mm day-1,7
15083_Börde,0.06899416446685791,RRm,year,precipitation,mm day-1,7
15084_Burgenlandkreis,0.07869839668273926,RRm,year,precipitation,mm day-1,7
15085_Harz,0.06697368621826172,RRm,year,precipitation,mm day-1,7
15086_Jerichower Land,0.07650136947631836,RRm,year,precipitation,mm day-1,7
15087_Mansfeld-Südharz,0.08279144763946533,RRm,year,precipitation,mm day-1,7
15088_Saalekreis,0.08150720596313477,RRm,year,precipitation,mm day-1,7
15089_Salzlandkreis,0.0820227861404419,RRm,year,precipitation,mm day-1,7
15090_Stendal,0.05579781532287598,RRm,year,precipitation,mm day-1,7
15091_Wittenberg,0.0829610824584961,RRm,year,precipitation,mm day-1,7
16051_16067_16068_16070_16071_16055_Region_um_Erfurt,0.07125675678253174,RRm,year,precipitation,mm day-1,7
16051_Erfurt,0.0805811882019043,RRm,year,precipitation,mm day-1,7
16052_16076_15084_16074_Region_um_Gera,0.08162832260131836,RRm,year,precipitation,mm day-1,7
16052_Gera,0.08773136138916016,RRm,year,precipitation,mm day-1,7
16053_16074_16071_16055_Region_um_Jena,0.08300793170928955,RRm,year,precipitation,mm day-1,7
16053_Jena,0.08109426498413086,RRm,year,precipitation,mm day-1,7
16054_16066_16069_16070_Region_um_Suhl,0.03852415084838867,RRm,year,precipitation,mm day-1,7
16054_Suhl,0.028110265731811523,RRm,year,precipitation,mm day-1,7
16055_16071_Region_um_Weimar,0.08195126056671143,RRm,year,precipitation,mm day-1,7
16055_Weimar,0.07576179504394531,RRm,year,precipitation,mm day-1,7
16056_16063_06636_Region_um_Eisenach,0.0749521255493164,RRm,year,precipitation,mm day-1,7
16056_Eisenach,0.057225942611694336,RRm,year,precipitation,mm day-1,7
16061_Eichsfeld,0.061672210693359375,RRm,year,precipitation,mm day-1,7
16062_Nordhausen,0.07119166851043701,RRm,year,precipitation,mm day-1,7
16063_Wartburgkreis,0.07001256942749023,RRm,year,precipitation,mm day-1,7
16064_Unstrut-Hainich-Kreis,0.07894277572631836,RRm,year,precipitation,mm day-1,7
16065_Kyffhäuserkreis,0.08883154392242432,RRm,year,precipitation,mm day-1,7
16066_Schmalkalden-Meiningen,0.029666900634765625,RRm,year,precipitation,mm day-1,7
16067_Gotha,0.052277565002441406,RRm,year,precipitation,mm day-1,7
16068_Sömmerda,0.08829712867736816,RRm,year,precipitation,mm day-1,7
16069_Hildburghausen,0.048158884048461914,RRm,year,precipitation,mm day-1,7
16070_Ilm-Kreis,0.04528355598449707,RRm,year,precipitation,mm day-1,7
16071_Weimarer Land,0.08176493644714355,RRm,year,precipitation,mm day-1,7
16072_Sonneberg,0.05621790885925293,RRm,year,precipitation,mm day-1,7
16073_Saalfeld-Rudolstadt,0.06915092468261719,RRm,year,precipitation,mm day-1,7
16074_Saale-Holzland-Kreis,0.08422529697418213,RRm,year,precipitation,mm day-1,7
16075_Saale-Orla-Kreis,0.0828392505645752,RRm,year,precipitation,mm day-1,7
16076_Greiz,0.08319640159606934,RRm,year,precipitation,mm day-1,7
16077_Altenburger Land,0.09489965438842773,RRm,year,precipitation,mm day-1,7
